,Genero,Aposentado,Casado,Dependentes,MesesComoCliente,ServicoTelefone,MultiplasLinhas,ServicoInternet,ServicoSegurancaOnline,ServicoBackupOnline,ProtecaoEquipamento,ServicoSuporteTecnico,ServicoStreamingTV,ServicoFilmes,TipoContrato,FaturaDigital,FormaPagamento,ValorMensal,TotalGasto,Churn
26,Feminino,1,Nao,Nao,1,Sim,Nao,DSL,Nao,Nao,Nao,Nao,Nao,Nao,Mensal,Nao,BoletoImpresso,45.1,45.1,Sim
27,Feminino,0,Nao,Nao,1,Sim,Sim,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Mensal,Sim,BoletoImpresso,25.75,25.75,Nao
28,Masculino,0,Nao,Nao,5,Sim,Sim,Fibra,Nao,Sim,Sim,Nao,Sim,Sim,Mensal,Nao,BoletoImpresso,104.1,541.9,Sim
29,Masculino,0,Nao,Nao,63,Sim,Sim,Fibra,Nao,Sim,Sim,Nao,Sim,Sim,2 anos,Sim,DebitoAutomatico,104.75,6536.5,Nao
30,Masculino,0,Sim,Sim,67,Sim,Nao,DSL,Sim,Sim,Sim,Nao,Sim,Sim,2 anos,Nao,CartaoCredito,81.35,5398.6,Nao
31,Feminino,0,Sim,Sim,40,Sim,Sim,Fibra,Nao,Sim,Sim,Nao,Sim,Nao,Mensal,Sim,CartaoCredito,96.35,3915.4,Nao
32,Masculino,0,Nao,Nao,65,Sim,Sim,Fibra,Sim,Nao,Nao,Sim,Nao,Sim,Anual,Nao,BoletoEletronico,93.55,6069.25,Nao
33,Feminino,0,Sim,Sim,16,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,Nao,BoletoImpresso,19.7,301.55,Nao
34,Feminino,1,Nao,Nao,46,Sim,Sim,DSL,Nao,Nao,Sim,Sim,Nao,Sim,Anual,Sim,CartaoCredito,69.1,3255.35,Nao
35,Masculino,0,Nao,Nao,11,Nao,SemTelefone,DSL,Nao,Sim,Nao,Sim,Nao,Nao,Mensal,Sim,BoletoEletronico,35.65,425.1,Nao
36,Feminino,0,Sim,Nao,49,Sim,Nao,Fibra,Nao,Sim,Sim,Nao,Sim,Sim,Mensal,Nao,BoletoEletronico,99.4,5025,Nao
37,Feminino,0,Sim,Nao,68,Nao,SemTelefone,DSL,Sim,Nao,Sim,Nao,Sim,Sim,Anual,Sim,BoletoEletronico,54.4,3723.65,Nao
38,Feminino,0,Nao,Nao,10,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Anual,Sim,BoletoImpresso,19.3,185.2,Nao
39,Feminino,1,Nao,Nao,2,Sim,Nao,Fibra,Nao,Sim,Nao,Nao,Sim,Nao,Mensal,Sim,DebitoAutomatico,83.8,163.7,Nao
40,Feminino,0,Sim,Nao,5,Sim,Nao,Fibra,Nao,Nao,Nao,Nao,Nao,Nao,Mensal,Sim,BoletoEletronico,68.95,351.5,Nao
41,Masculino,0,Nao,Sim,53,Sim,Nao,DSL,Sim,Sim,Nao,Sim,Nao,Nao,Anual,Nao,CartaoCredito,62.85,3419.5,Nao
42,Masculino,1,Sim,Nao,54,Sim,Sim,Fibra,Nao,Sim,Sim,Sim,Sim,Sim,2 anos,Sim,BoletoEletronico,110.45,6077.75,Nao
43,Feminino,0,Nao,Nao,4,Sim,Nao,DSL,Nao,Nao,Nao,Nao,Nao,Nao,Mensal,Sim,BoletoImpresso,45.3,196.95,Sim
44,Masculino,1,Nao,Nao,15,Sim,Sim,Fibra,Nao,Nao,Nao,Nao,Nao,Nao,Mensal,Nao,BoletoEletronico,75.65,1146.65,Sim
45,Masculino,0,Nao,Nao,10,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Mensal,Sim,BoletoImpresso,19.85,193.05,Nao
46,Feminino,0,Nao,Nao,3,Sim,Nao,DSL,Nao,Nao,Nao,Nao,Nao,Sim,Mensal,Sim,BoletoEletronico,55.3,196.15,Sim
47,Feminino,0,Sim,Nao,71,Sim,Sim,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,Nao,DebitoAutomatico,24.75,1836.9,Nao
48,Masculino,0,Sim,Nao,8,Sim,Nao,DSL,Nao,Sim,Sim,Nao,Nao,Nao,Mensal,Sim,BoletoImpresso,54.75,445.85,Nao
49,Masculino,1,Nao,Nao,1,Sim,Sim,Fibra,Nao,Nao,Nao,Nao,Sim,Sim,Mensal,Sim,BoletoEletronico,94.0,94,Sim
50,Feminino,0,Sim,Sim,64,Sim,Sim,Fibra,Sim,Sim,Nao,Sim,Sim,Sim,2 anos,Nao,DebitoAutomatico,110.3,6997.3,Nao
51,Masculino,0,Nao,Nao,57,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,Nao,CartaoCredito,18.8,1094.35,Nao
52,Feminino,1,Sim,Nao,1,Sim,Sim,Fibra,Nao,Nao,Sim,Nao,Sim,Sim,Mensal,Sim,BoletoEletronico,100.8,100.8,Sim
53,Feminino,1,Sim,Nao,20,Sim,Nao,DSL,Nao,Sim,Nao,Nao,Nao,Sim,Mensal,Sim,BoletoEletronico,60.0,1259.35,Nao
54,Feminino,1,Nao,Nao,26,Sim,Sim,DSL,Nao,Nao,Nao,Sim,Nao,Sim,Mensal,Sim,BoletoEletronico,66.05,1652.4,Nao
55,Feminino,1,Nao,Nao,2,Sim,Nao,Fibra,Nao,Nao,Nao,Nao,Nao,Sim,Mensal,Sim,DebitoAutomatico,79.75,159.4,Sim
56,Masculino,0,Sim,Sim,32,Sim,Nao,Fibra,Sim,Sim,Sim,Nao,Nao,Sim,Anual,Nao,BoletoImpresso,94.8,3131.55,Nao
57,Feminino,0,Nao,Nao,5,Sim,Sim,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Mensal,Nao,BoletoImpresso,25.45,134.75,Nao
58,Feminino,0,Nao,Nao,70,Sim,Sim,Fibra,Sim,Sim,Sim,Nao,Sim,Sim,2 anos,Sim,BoletoImpresso,111.15,7737.55,Nao
59,Masculino,0,Nao,Nao,31,Sim,Nao,DSL,Nao,Nao,Sim,Sim,Nao,Nao,Mensal,Sim,BoletoEletronico,55.25,1715.65,Sim
60,Feminino,0,Nao,Nao,7,Sim,Nao,DSL,Nao,Nao,Nao,Sim,Sim,Nao,Mensal,Sim,BoletoImpresso,59.5,415.95,Sim
61,Masculino,0,Nao,Nao,1,Nao,SemTelefone,DSL,Nao,Nao,Nao,Nao,Nao,Nao,Mensal,Nao,BoletoImpresso,25.35,25.35,Nao
62,Masculino,1,Nao,Nao,20,Sim,Sim,Fibra,Nao,Nao,Sim,Nao,Sim,Sim,Mensal,Sim,BoletoEletronico,98.55,1842.8,Sim
63,Masculino,0,Nao,Nao,35,Sim,Nao,DSL,Sim,Sim,Sim,Nao,Nao,Nao,Anual,Nao,BoletoImpresso,61.2,2021.2,Nao
64,Masculino,0,Nao,Nao,6,Sim,Nao,DSL,Nao,Nao,Sim,Nao,Sim,Nao,Mensal,Nao,BoletoImpresso,60.9,414.1,Nao
65,Feminino,0,Sim,Sim,72,Sim,Sim,DSL,Sim,Sim,Nao,Sim,Sim,Nao,2 anos,Nao,BoletoImpresso,74.55,5430.65,Nao
66,Feminino,0,Nao,Nao,13,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Anual,Nao,BoletoEletronico,19.65,244.8,Nao
67,Feminino,1,Nao,Nao,4,Sim,Sim,DSL,Nao,Nao,Nao,Nao,Nao,Nao,Mensal,Nao,BoletoImpresso,48.75,179.85,Nao
68,Masculino,0,Sim,Sim,63,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,Sim,BoletoImpresso,19.15,1177.05,Nao
69,Masculino,0,Sim,Nao,69,Sim,Nao,DSL,Sim,Sim,Sim,Sim,Sim,Sim,2 anos,Sim,BoletoImpresso,84.7,5878.9,
70,Feminino,0,Nao,Nao,3,Nao,SemTelefone,DSL,Sim,Nao,Nao,Sim,Nao,Nao,Mensal,Nao,BoletoImpresso,34.25,139.35,Sim
71,Feminino,1,Sim,Nao,71,Sim,Sim,Fibra,Sim,Nao,Nao,Nao,Nao,Nao,2 anos,Sim,CartaoCredito,80.7,5676,Nao
72,Masculino,0,Sim,Nao,15,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Mensal,Sim,CartaoCredito,19.45,340.85,Nao
73,Feminino,0,Sim,Sim,30,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,Nao,BoletoImpresso,19.7,599.25,Nao
74,Feminino,0,Nao,Nao,23,Sim,Nao,Fibra,Nao,Sim,Sim,Sim,Nao,Nao,Mensal,Nao,DebitoAutomatico,83.2,2032.3,Nao
75,Masculino,1,Sim,Nao,9,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Anual,Nao,CartaoCredito,19.85,183.15,Nao
76,Masculino,0,Nao,Nao,35,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Anual,Sim,BoletoImpresso,19.15,638,Nao
77,Feminino,0,Sim,Sim,6,Sim,Nao,DSL,Nao,Nao,Nao,Nao,Sim,Nao,Mensal,Nao,BoletoEletronico,54.85,355.1,Nao
78,Feminino,0,Nao,Nao,1,Sim,Sim,Fibra,Nao,Nao,Nao,Nao,Nao,Nao,Mensal,Sim,BoletoImpresso,75.05,75.05,Sim
79,Feminino,0,Sim,Sim,72,Sim,Sim,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,Nao,DebitoAutomatico,25.1,1857.85,Nao
80,Masculino,0,Sim,Sim,45,Sim,Nao,DSL,Sim,Sim,Sim,Sim,Sim,Sim,2 anos,Sim,BoletoImpresso,84.35,3858.05,Nao
81,Masculino,0,Sim,Sim,7,Sim,Nao,Fibra,Nao,Sim,Nao,Sim,Sim,Nao,Mensal,Sim,BoletoEletronico,89.75,608.8,Sim
82,Masculino,0,Nao,Nao,70,Nao,SemTelefone,DSL,Sim,Nao,Sim,Sim,Nao,Sim,2 anos,Nao,DebitoAutomatico,48.4,3442.8,Nao
83,Masculino,0,Sim,Nao,53,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,Nao,CartaoCredito,19.9,1110.05,Nao
84,Masculino,0,Nao,Nao,4,Sim,Sim,DSL,Nao,Nao,Nao,Nao,Nao,Nao,Mensal,Nao,CartaoCredito,51.75,201.1,Sim
85,Feminino,0,Sim,Nao,72,Sim,Sim,DSL,Sim,Sim,Sim,Sim,Sim,Sim,2 anos,Sim,BoletoEletronico,92.4,6786.1,Nao
86,Masculino,0,Sim,Sim,72,Nao,SemTelefone,DSL,Sim,Sim,Sim,Sim,Nao,Nao,2 anos,Nao,CartaoCredito,45.25,3139.8,Nao
87,Masculino,1,Sim,Nao,17,Sim,Sim,Fibra,Nao,Nao,Nao,Nao,Sim,Sim,Mensal,Sim,BoletoEletronico,94.8,1563.9,Nao
88,Feminino,0,Nao,Nao,7,Sim,Nao,Fibra,Nao,Nao,Nao,Nao,Nao,Nao,Mensal,Sim,DebitoAutomatico,69.85,515.45,Nao
89,Feminino,0,Nao,Sim,11,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Mensal,Nao,CartaoCredito,20.1,221.35,Sim
90,Feminino,0,Nao,Nao,2,Sim,Sim,Fibra,Nao,Nao,Nao,Nao,Nao,Nao,Mensal,Nao,CartaoCredito,74.9,147.15,Sim
91,Feminino,0,Nao,Nao,72,Sim,Nao,Fibra,Sim,Sim,Sim,Sim,Sim,Sim,2 anos,Sim,BoletoEletronico,109.9,7624.2,Nao
92,Masculino,0,Nao,Sim,11,Sim,Sim,Fibra,Nao,Nao,Sim,Nao,Nao,Nao,Mensal,Sim,BoletoImpresso,78.0,851.8,Nao
93,Masculino,1,Nao,Nao,5,Sim,Nao,Fibra,Nao,Nao,Nao,Nao,Sim,Sim,Mensal,Sim,BoletoEletronico,91.4,449.75,Sim
94,Masculino,1,Sim,Nao,4,Sim,Sim,Fibra,Nao,Nao,Nao,Nao,Nao,Nao,Mensal,Nao,BoletoEletronico,74.95,308.7,Sim
95,Masculino,0,Sim,Nao,30,Sim,Nao,DSL,Nao,Nao,Sim,Nao,Nao,Nao,Mensal,Sim,BoletoImpresso,50.0,1474.9,Nao
96,Feminino,0,Sim,Sim,11,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,Nao,CartaoCredito,20.9,202.3,Nao
97,Masculino,0,Sim,Nao,17,Nao,SemTelefone,DSL,Nao,Sim,Nao,Nao,Sim,Sim,Mensal,Sim,BoletoImpresso,49.8,836.35,Nao
98,Feminino,1,Nao,Nao,34,Nao,SemTelefone,DSL,Nao,Sim,Sim,Nao,Sim,Sim,Mensal,Sim,BoletoEletronico,56.25,1765.95,Nao
99,Feminino,1,Nao,Nao,2,Nao,SemTelefone,DSL,Nao,Nao,Sim,Nao,Nao,Nao,Mensal,Sim,BoletoEletronico,30.4,78.65,Sim
100,Masculino,0,Nao,Sim,55,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Anual,Nao,DebitoAutomatico,19.1,1001.5,Nao
101,Feminino,1,Nao,Nao,5,Sim,Nao,DSL,Sim,Sim,Nao,Sim,Nao,Nao,Mensal,Nao,CartaoCredito,59.9,287.85,Nao
102,Feminino,0,Sim,Sim,11,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Anual,Sim,BoletoImpresso,20.0,196.35,Nao
103,Feminino,0,Nao,Sim,1,Sim,Nao,Fibra,Nao,Nao,Nao,Nao,Nao,Sim,Mensal,Sim,BoletoEletronico,79.6,79.6,Sim
104,Feminino,0,Sim,Nao,70,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,Nao,DebitoAutomatico,19.45,1303.5,Nao
105,Masculino,1,Nao,Nao,2,Sim,Sim,Fibra,Nao,Nao,Nao,Nao,Nao,Nao,Mensal,Sim,BoletoImpresso,74.85,156.4,Sim
106,Feminino,0,Nao,Nao,7,Sim,Sim,Fibra,Nao,Nao,Nao,Nao,Nao,Nao,Mensal,Sim,BoletoEletronico,73.85,511.25,Sim
107,Masculino,0,Nao,Nao,35,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,Sim,BoletoImpresso,20.2,684.4,Nao
108,Feminino,0,Nao,Nao,58,Sim,Sim,DSL,Sim,Sim,Sim,Sim,Nao,Nao,Anual,Sim,CartaoCredito,71.1,4299.2,Nao
109,Feminino,0,Sim,Sim,72,Sim,Sim,Fibra,Nao,Sim,Sim,Sim,Sim,Sim,2 anos,Sim,DebitoAutomatico,109.2,7711.45,Nao
110,Masculino,0,Sim,Sim,68,Sim,Nao,DSL,Sim,Sim,Sim,Sim,Nao,Nao,2 anos,Nao,CartaoCredito,62.65,4375.8,Nao
111,Masculino,0,Nao,Nao,26,Sim,Nao,DSL,Nao,Nao,Nao,Sim,Sim,Nao,Anual,Nao,CartaoCredito,59.45,1507,Nao
112,Feminino,0,Nao,Nao,12,Sim,Nao,DSL,Nao,Nao,Nao,Nao,Nao,Nao,Mensal,Sim,BoletoEletronico,45.05,523.1,Nao
113,Masculino,0,Sim,Sim,25,Sim,Sim,DSL,Nao,Nao,Nao,Nao,Sim,Nao,Mensal,Nao,BoletoEletronico,60.35,1404.65,Nao
114,Masculino,1,Sim,Sim,72,Sim,Sim,Fibra,Sim,Sim,Sim,Sim,Sim,Sim,2 anos,Sim,DebitoAutomatico,114.95,8196.4,Nao
115,Masculino,0,Nao,Sim,70,Sim,Sim,Fibra,Sim,Sim,Sim,Sim,Sim,Sim,2 anos,Sim,BoletoEletronico,114.6,7882.5,Nao
116,Masculino,1,Nao,Sim,1,Sim,Nao,DSL,Nao,Nao,Sim,Nao,Nao,Nao,Mensal,Sim,BoletoImpresso,50.15,50.15,Sim
117,Masculino,0,Nao,Nao,26,Sim,Sim,Fibra,Sim,Sim,Nao,Nao,Nao,Nao,Mensal,Sim,CartaoCredito,86.65,2208.75,Nao
118,Feminino,0,Sim,Sim,2,Sim,Nao,DSL,Nao,Nao,Nao,Nao,Sim,Sim,Mensal,Nao,BoletoImpresso,65.7,134.35,Sim
119,Feminino,0,Sim,Sim,28,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Anual,Nao,BoletoImpresso,19.9,543,Nao
120,Feminino,0,Sim,Sim,6,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Mensal,Nao,BoletoImpresso,19.85,119.3,Nao
121,Feminino,0,Sim,Sim,58,Nao,SemTelefone,DSL,Sim,Nao,Sim,Sim,Sim,Sim,2 anos,Nao,BoletoImpresso,59.75,3624.35,Nao
122,Feminino,1,Sim,Nao,29,Nao,SemTelefone,DSL,Sim,Nao,Sim,Nao,Nao,Sim,Mensal,Sim,BoletoEletronico,45.0,1228.65,Nao
123,Masculino,0,Nao,Nao,16,Sim,Sim,DSL,Nao,Sim,Sim,Nao,Nao,Sim,Mensal,Sim,DebitoAutomatico,71.4,1212.1,Nao
124,Masculino,1,Sim,Nao,43,Sim,Sim,Fibra,Nao,Sim,Nao,Nao,Sim,Sim,Mensal,Sim,BoletoEletronico,101.0,4388.4,Sim
125,Masculino,0,Sim,Nao,52,Sim,Nao,DSL,Sim,Sim,Nao,Nao,Sim,Sim,Anual,Sim,BoletoImpresso,75.4,3865.45,Nao
126,Feminino,0,Sim,Sim,72,Sim,Sim,Fibra,Sim,Sim,Sim,Sim,Sim,Sim,2 anos,Sim,DebitoAutomatico,118.75,8672.45,Nao
127,Masculino,0,Sim,Sim,71,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,Nao,BoletoImpresso,19.45,1378.45,Nao
128,Masculino,0,Sim,Nao,65,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,Sim,CartaoCredito,20.4,1414.45,Nao
129,Feminino,0,Nao,Nao,49,Sim,Sim,Fibra,Nao,Nao,Nao,Nao,Nao,Sim,Mensal,Sim,BoletoEletronico,84.5,3906.7,Nao
130,Masculino,0,Nao,Nao,52,Sim,Nao,Fibra,Nao,Nao,Sim,Nao,Nao,Sim,Mensal,Sim,CartaoCredito,83.8,4331.4,Nao
131,Masculino,0,Nao,Nao,2,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Mensal,Nao,BoletoImpresso,20.35,33.2,Sim
132,Masculino,0,Sim,Sim,71,Sim,Nao,Fibra,Sim,Sim,Sim,Sim,Sim,Sim,2 anos,Nao,CartaoCredito,109.3,7782.85,Nao
133,Masculino,0,Nao,Nao,54,Sim,Sim,Fibra,Nao,Nao,Sim,Nao,Nao,Sim,Mensal,Nao,CartaoCredito,89.4,4869.5,Nao
134,Feminino,0,Sim,Sim,15,Sim,Nao,DSL,Nao,Sim,Sim,Sim,Sim,Sim,Mensal,Nao,DebitoAutomatico,76.5,1155.6,Nao
135,Masculino,0,Nao,Nao,9,Nao,SemTelefone,DSL,Nao,Nao,Nao,Nao,Nao,Nao,Mensal,Sim,BoletoImpresso,24.6,190.1,Nao
136,Masculino,1,Sim,Nao,50,Sim,Sim,Fibra,Sim,Nao,Sim,Nao,Sim,Sim,2 anos,Sim,CartaoCredito,105.05,5163.3,Nao
137,Masculino,0,Sim,Sim,19,Sim,Sim,Fibra,Nao,Nao,Nao,Nao,Nao,Sim,Mensal,Sim,BoletoEletronico,83.65,1465.75,Sim
138,Feminino,1,Sim,Nao,70,Sim,Sim,Fibra,Nao,Sim,Nao,Sim,Sim,Sim,2 anos,Sim,DebitoAutomatico,104.45,7349.35,Nao
139,Feminino,1,Sim,Nao,72,Sim,Sim,Fibra,Sim,Sim,Nao,Nao,Sim,Sim,Anual,Sim,DebitoAutomatico,106.85,7677.4,Nao
140,Masculino,1,Sim,Nao,52,Sim,Sim,Fibra,Nao,Sim,Sim,Nao,Sim,Sim,Anual,Sim,DebitoAutomatico,105.1,5376.4,Nao
141,Feminino,0,Sim,Sim,15,Sim,Nao,DSL,Nao,Nao,Nao,Nao,Nao,Nao,Mensal,Nao,BoletoEletronico,46.3,639.45,Nao
142,Feminino,0,Sim,Sim,72,Sim,Sim,DSL,Nao,Nao,Sim,Nao,Sim,Sim,2 anos,Sim,DebitoAutomatico,76.8,5468.45,Nao
143,Masculino,1,Nao,Nao,3,Sim,Sim,Fibra,Nao,Sim,Nao,Nao,Nao,Nao,Mensal,Sim,BoletoEletronico,81.35,233.7,Sim
144,Masculino,0,Nao,Nao,58,Sim,Nao,Fibra,Sim,Sim,Nao,Nao,Sim,Sim,Anual,Nao,DebitoAutomatico,99.15,5720.95,Nao
145,Feminino,0,Nao,Nao,1,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Mensal,Sim,BoletoImpresso,20.35,20.35,Nao
146,Masculino,0,Sim,Nao,35,Sim,Sim,Fibra,Nao,Nao,Nao,Sim,Nao,Sim,Mensal,Sim,DebitoAutomatico,89.85,3161.2,Nao
147,Feminino,0,Sim,Sim,50,Sim,Sim,Fibra,Nao,Nao,Nao,Nao,Sim,Nao,Mensal,Sim,DebitoAutomatico,84.4,4116.15,Sim
148,Masculino,0,Sim,Nao,41,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,Sim,BoletoEletronico,19.75,899.45,Nao
149,Masculino,0,Sim,Sim,72,Sim,Sim,DSL,Sim,Sim,Sim,Nao,Nao,Nao,2 anos,Nao,CartaoCredito,64.45,4720,Nao
150,Feminino,0,Nao,Nao,30,Sim,Sim,DSL,Nao,Sim,Sim,Nao,Sim,Nao,Anual,Sim,CartaoCredito,68.95,2038.7,Nao
151,Feminino,0,Sim,Sim,2,Nao,SemTelefone,DSL,Nao,Nao,Nao,Nao,Nao,Nao,Mensal,Sim,BoletoImpresso,24.4,36.55,Sim
152,Masculino,0,Nao,Nao,15,Nao,SemTelefone,DSL,Nao,Nao,Nao,Sim,Nao,Nao,Mensal,Sim,BoletoEletronico,29.7,438.25,Sim
153,Masculino,0,Sim,Sim,37,Sim,Nao,DSL,Sim,Nao,Sim,Sim,Nao,Nao,Anual,Sim,BoletoImpresso,58.75,2203.1,Nao
